product_id,product_name,category,price,cost,created_at,updated_at
1,ワイヤレスイヤホン Pro,電子機器,15000,8000,2024-01-01 00:00:00,2024-06-01 00:00:00
2,Bluetoothスピーカー,電子機器,8000,4500,2024-01-05 00:00:00,2024-06-01 00:00:00
3,USB-C充電ケーブル 3本セット,アクセサリー,1500,500,2024-01-10 00:00:00,2024-06-01 00:00:00
4,スマートウォッチ Lite,電子機器,25000,15000,2024-01-15 00:00:00,2024-07-01 00:00:00
5,ノートパソコンスタンド,家具,5500,2500,2024-01-20 00:00:00,2024-06-01 00:00:00
6,キーボードカバー,アクセサリー,2000,800,2024-02-01 00:00:00,2024-06-01 00:00:00
7,デスクライト LED,家具,4500,2000,2024-02-10 00:00:00,2024-06-01 00:00:00
8,モニターアーム,家具,12000,6000,2024-02-15 00:00:00,2024-07-01 00:00:00
9,ワイヤレスマウス,電子機器,3500,1500,2024-03-01 00:00:00,2024-06-01 00:00:00
10,USBハブ 7ポート,アクセサリー,3000,1200,2024-03-10 00:00:00,2024-06-01 00:00:00
